ano,uf,tipo,qtde
2013,RIO GRANDE DO NORTE,MOTONETA,44323
2013,RIO GRANDE DO NORTE,ONIBUS,5748
2013,RIO GRANDE DO NORTE,UTILITARIO,8434
2013,RIO GRANDE DO SUL,AUTOMOVEL,3465394
2013,RIO GRANDE DO SUL,CAMINHAO,198748
2013,RIO GRANDE DO SUL,CAMINHAO TRATOR,51449
2013,RIO GRANDE DO SUL,CAMINHONETE,326365
2013,RIO GRANDE DO SUL,CAMIONETA,227091
2013,RIO GRANDE DO SUL,MICROONIBUS,17095
2013,RIO GRANDE DO SUL,MOTOCICLETA,927553
2013,RIO GRANDE DO SUL,MOTONETA,159353
2013,RIO GRANDE DO SUL,ONIBUS,36243
2013,RIO GRANDE DO SUL,UTILITARIO,27803
2013,RONDONIA,AUTOMOVEL,203241
2013,RONDONIA,CAMINHAO,25992
2013,RONDONIA,CAMINHAO TRATOR,4987
2013,RONDONIA,CAMINHONETE,53441
2013,RONDONIA,CAMIONETA,17620
2013,RONDONIA,MICROONIBUS,946
2013,RONDONIA,MOTOCICLETA,310338
2013,RONDONIA,MOTONETA,86444
2013,RONDONIA,ONIBUS,4734
2013,RONDONIA,UTILITARIO,1911
2013,RORAIMA,AUTOMOVEL,51321
2013,RORAIMA,CAMINHAO,3659
2013,RORAIMA,CAMINHAO TRATOR,478
2013,RORAIMA,CAMINHONETE,12993
2013,RORAIMA,CAMIONETA,7893
2013,RORAIMA,MICROONIBUS,553
2013,RORAIMA,MOTOCICLETA,62798
2013,RORAIMA,MOTONETA,14737
2013,RORAIMA,ONIBUS,782
2013,RORAIMA,UTILITARIO,722
2013,SANTA CATARINA,AUTOMOVEL,2336461
2013,SANTA CATARINA,CAMINHAO,134067
2013,SANTA CATARINA,CAMINHAO TRATOR,45419
2013,SANTA CATARINA,CAMINHONETE,194463
2013,SANTA CATARINA,CAMIONETA,191894
2013,SANTA CATARINA,MICROONIBUS,10317
2013,SANTA CATARINA,MOTOCICLETA,741510
2013,SANTA CATARINA,MOTONETA,223485
2013,SANTA CATARINA,ONIBUS,16761
2013,SANTA CATARINA,UTILITARIO,24645
2013,SAO PAULO,AUTOMOVEL,15240187
2013,SAO PAULO,CAMINHAO,619939
2013,SAO PAULO,CAMINHAO TRATOR,152691
2013,SAO PAULO,CAMINHONETE,1196366
2013,SAO PAULO,CAMIONETA,1163413
2013,SAO PAULO,MICROONIBUS,101542
2013,SAO PAULO,MOTOCICLETA,3858305
2013,SAO PAULO,MOTONETA,668917
2013,SAO PAULO,ONIBUS,144136
2013,SAO PAULO,UTILITARIO,134550
2013,SERGIPE,AUTOMOVEL,251689
2013,SERGIPE,CAMINHAO,18456
2013,SERGIPE,CAMINHAO TRATOR,1715
2013,SERGIPE,CAMINHONETE,30229
2013,SERGIPE,CAMIONETA,9918
2013,SERGIPE,MICROONIBUS,3018
2013,SERGIPE,MOTOCICLETA,182367
2013,SERGIPE,MOTONETA,30938
2013,SERGIPE,ONIBUS,5380
2013,SERGIPE,UTILITARIO,2674
2013,Sem Informação,AUTOMOVEL,453867
2013,Sem Informação,CAMINHAO,44844
2013,Sem Informação,CAMINHAO TRATOR,7875
2013,Sem Informação,CAMINHONETE,69968
2013,Sem Informação,CAMIONETA,59899
2013,Sem Informação,MICROONIBUS,3469
2013,Sem Informação,MOTOCICLETA,686426
2013,Sem Informação,MOTONETA,215776
2013,Sem Informação,ONIBUS,5798
2013,Sem Informação,UTILITARIO,7029
2013,TOCANTINS,AUTOMOVEL,150527
2013,TOCANTINS,CAMINHAO,20369
2013,TOCANTINS,CAMINHAO TRATOR,3660
2013,TOCANTINS,CAMINHONETE,36325
2013,TOCANTINS,CAMIONETA,16704
2013,TOCANTINS,MICROONIBUS,1330
2013,TOCANTINS,MOTOCICLETA,177192
2013,TOCANTINS,MOTONETA,70681
2013,TOCANTINS,ONIBUS,4297
2013,TOCANTINS,UTILITARIO,1924
2014,ACRE,AUTOMOVEL,69550
2014,ACRE,CAMINHAO,6376
2014,ACRE,CAMINHAO TRATOR,621
2014,ACRE,CAMINHONETE,17403
2014,ACRE,CAMIONETA,6062
2014,ACRE,MICROONIBUS,299
2014,ACRE,MOTOCICLETA,89955
2014,ACRE,MOTONETA,17578
2014,ACRE,ONIBUS,950
2014,ACRE,UTILITARIO,875
2014,ALAGOAS,AUTOMOVEL,285899
2014,ALAGOAS,CAMINHAO,19230
2014,ALAGOAS,CAMINHAO TRATOR,2182
2014,ALAGOAS,CAMINHONETE,36442
2014,ALAGOAS,CAMIONETA,21939
2014,ALAGOAS,MICROONIBUS,5612
2014,ALAGOAS,MOTOCICLETA,210278
2014,ALAGOAS,MOTONETA,30928
2014,ALAGOAS,ONIBUS,6320
2014,ALAGOAS,UTILITARIO,3797
2014,AMAPA,AUTOMOVEL,66653
2014,AMAPA,CAMINHAO,3683
2014,AMAPA,CAMINHAO TRATOR,288
2014,AMAPA,CAMINHONETE,14822
2014,AMAPA,CAMIONETA,5972
2014,AMAPA,MICROONIBUS,398
2014,AMAPA,MOTOCICLETA,52615
2014,AMAPA,MOTONETA,9056
2014,AMAPA,ONIBUS,997
2014,AMAPA,UTILITARIO,713
2014,AMAZONAS,AUTOMOVEL,334964
2014,AMAZONAS,CAMINHAO,18962
2014,AMAZONAS,CAMINHAO TRATOR,3052
2014,AMAZONAS,CAMINHONETE,64405
2014,AMAZONAS,CAMIONETA,33251
2014,AMAZONAS,MICROONIBUS,3366
2014,AMAZONAS,MOTOCICLETA,193594
2014,AMAZONAS,MOTONETA,43991
2014,AMAZONAS,ONIBUS,8666
2014,AMAZONAS,UTILITARIO,4400
2014,BAHIA,AUTOMOVEL,1468653
2014,BAHIA,CAMINHAO,107485
2014,BAHIA,CAMINHAO TRATOR,18662
2014,BAHIA,CAMINHONETE,253573
2014,BAHIA,CAMIONETA,98684
2014,BAHIA,MICROONIBUS,24805
2014,BAHIA,MOTOCICLETA,1044280
2014,BAHIA,MOTONETA,146638
2014,BAHIA,ONIBUS,34970
2014,BAHIA,UTILITARIO,18439
2014,CEARA,AUTOMOVEL,909277
2014,CEARA,CAMINHAO,62370
2014,CEARA,CAMINHAO TRATOR,7130
2014,CEARA,CAMINHONETE,127443
2014,CEARA,CAMIONETA,73437
2014,CEARA,MICROONIBUS,10303
2014,CEARA,MOTOCICLETA,1085989
2014,CEARA,MOTONETA,124646
2014,CEARA,ONIBUS,14024
2014,CEARA,UTILITARIO,20238
2014,DISTRITO FEDERAL,AUTOMOVEL,1116718
2014,DISTRITO FEDERAL,CAMINHAO,21939
2014,DISTRITO FEDERAL,CAMINHAO TRATOR,3093
2014,DISTRITO FEDERAL,CAMINHONETE,91225
2014,DISTRITO FEDERAL,CAMIONETA,76632
2014,DISTRITO FEDERAL,MICROONIBUS,5063
2014,DISTRITO FEDERAL,MOTOCICLETA,158328
2014,DISTRITO FEDERAL,MOTONETA,15225
2014,DISTRITO FEDERAL,ONIBUS,11673
2014,DISTRITO FEDERAL,UTILITARIO,16839
2014,ESPIRITO SANTO,AUTOMOVEL,809346
2014,ESPIRITO SANTO,CAMINHAO,65501
2014,ESPIRITO SANTO,CAMINHAO TRATOR,17365
2014,ESPIRITO SANTO,CAMINHONETE,115042
2014,ESPIRITO SANTO,CAMIONETA,72618
2014,ESPIRITO SANTO,MICROONIBUS,7051
2014,ESPIRITO SANTO,MOTOCICLETA,382443
2014,ESPIRITO SANTO,MOTONETA,87380
2014,ESPIRITO SANTO,ONIBUS,13643
2014,ESPIRITO SANTO,UTILITARIO,11486
2014,GOIAS,AUTOMOVEL,1551029
2014,GOIAS,CAMINHAO,100094
2014,GOIAS,CAMINHAO TRATOR,26697
2014,GOIAS,CAMINHONETE,300133
2014,GOIAS,CAMIONETA,68390
2014,GOIAS,MICROONIBUS,8207
2014,GOIAS,MOTOCICLETA,760535
2014,GOIAS,MOTONETA,227962
2014,GOIAS,ONIBUS,19762
2014,GOIAS,UTILITARIO,15155
2014,MARANHAO,AUTOMOVEL,348203
2014,MARANHAO,CAMINHAO,34094
2014,MARANHAO,CAMINHAO TRATOR,3188
2014,MARANHAO,CAMINHONETE,81922
2014,MARANHAO,CAMIONETA,23872
2014,MARANHAO,MICROONIBUS,4186
2014,MARANHAO,MOTOCICLETA,645943
2014,MARANHAO,MOTONETA,103232
2014,MARANHAO,ONIBUS,7191
2014,MARANHAO,UTILITARIO,6270
2014,MATO GROSSO,AUTOMOVEL,563563
2014,MATO GROSSO,CAMINHAO,60210
2014,MATO GROSSO,CAMINHAO TRATOR,27916
2014,MATO GROSSO,CAMINHONETE,164930
2014,MATO GROSSO,CAMIONETA,31219
2014,MATO GROSSO,MICROONIBUS,2919
2014,MATO GROSSO,MOTOCICLETA,510731
2014,MATO GROSSO,MOTONETA,168732
2014,MATO GROSSO,ONIBUS,9941
2014,MATO GROSSO,UTILITARIO,8825
2014,MATO GROSSO DO SUL,AUTOMOVEL,599360
2014,MATO GROSSO DO SUL,CAMINHAO,45304
2014,MATO GROSSO DO SUL,CAMINHAO TRATOR,14180
2014,MATO GROSSO DO SUL,CAMINHONETE,128204
2014,MATO GROSSO DO SUL,CAMIONETA,24874
2014,MATO GROSSO DO SUL,MICROONIBUS,3190
2014,MATO GROSSO DO SUL,MOTOCICLETA,319613
2014,MATO GROSSO DO SUL,MOTONETA,91738
2014,MATO GROSSO DO SUL,ONIBUS,8451
2014,MATO GROSSO DO SUL,UTILITARIO,7392
2014,MINAS GERAIS,AUTOMOVEL,5039851
2014,MINAS GERAIS,CAMINHAO,302213
2014,MINAS GERAIS,CAMINHAO TRATOR,60524
2014,MINAS GERAIS,CAMINHONETE,723099
2014,MINAS GERAIS,CAMIONETA,226213
2014,MINAS GERAIS,MICROONIBUS,40187
2014,MINAS GERAIS,MOTOCICLETA,2150843
2014,MINAS GERAIS,MOTONETA,235417
2014,MINAS GERAIS,ONIBUS,68778
2014,MINAS GERAIS,UTILITARIO,39270
2014,PARA,AUTOMOVEL,470750
2014,PARA,CAMINHAO,51223
2014,PARA,CAMINHAO TRATOR,6505
2014,PARA,CAMINHONETE,103081
2014,PARA,CAMIONETA,34091
2014,PARA,MICROONIBUS,5967
2014,PARA,MOTOCICLETA,630767
2014,PARA,MOTONETA,139685
2014,PARA,ONIBUS,15208
2014,PARA,UTILITARIO,9572
2014,PARAIBA,AUTOMOVEL,421686
2014,PARAIBA,CAMINHAO,26162
2014,PARAIBA,CAMINHAO TRATOR,2467
2014,PARAIBA,CAMINHONETE,53489
2014,PARAIBA,CAMIONETA,31843
2014,PARAIBA,MICROONIBUS,4093
2014,PARAIBA,MOTOCICLETA,381731
2014,PARAIBA,MOTONETA,53665
2014,PARAIBA,ONIBUS,6716
2014,PARAIBA,UTILITARIO,5860
2014,PARANA,AUTOMOVEL,3827423
2014,PARANA,CAMINHAO,244893
2014,PARANA,CAMINHAO TRATOR,85251
2014,PARANA,CAMINHONETE,486231
2014,PARANA,CAMIONETA,235967
